MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
338398275,2024-06-15T17:56:23,37.87048,-122.49454,5.5,137.6,511.0
368171990,2024-06-15T17:55:02,37.92113,-122.40876,0.0,155.8,143.0
367006980,2024-06-15T17:56:02,37.79883,-122.39452,0.0,179.5,511.0
338169735,2024-06-15T17:55:04,37.90748,-122.38250,3.9,11.6,511.0
366904000,2024-06-15T17:55:54,37.74994,-122.33436,0.0,253.6,149.0
368063440,2024-06-15T17:57:37,37.79463,-122.28020,0.0,44.8,25.0
338146074,2024-06-15T17:56:07,37.84498,-122.39462,6.8,359.6,511.0
367002980,2024-06-15T17:56:30,37.87253,-122.45567,0.2,163.5,511.0
338219736,2024-06-15T17:56:49,37.84683,-122.40181,4.9,175.0,511.0
338427575,2024-06-15T17:55:02,37.85821,-122.45597,1.5,49.0,511.0
366778450,2024-06-15T17:55:31,37.91005,-122.44660,38.4,329.5,331.0
368018070,2024-06-15T17:56:22,37.79122,-122.29448,0.0,144.5,80.0
367396670,2024-06-15T17:56:30,37.82184,-122.31107,0.0,360.0,511.0
368018070,2024-06-15T17:55:14,37.79120,-122.29452,0.0,144.5,80.0
368248520,2024-06-15T17:56:54,37.79114,-122.29882,4.6,98.8,97.0
367178390,2024-06-15T17:56:25,37.78870,-122.27030,5.3,310.6,511.0
338319661,2024-06-15T17:56:56,37.81039,-122.40966,0.0,360.0,511.0
367167000,2024-06-15T17:55:07,37.81944,-122.31087,0.0,0.0,278.0
338306963,2024-06-15T17:55:10,37.81001,-122.42062,0.0,25.5,511.0
368144290,2024-06-15T17:55:39,37.91795,-122.36446,0.0,3.0,118.0
367425230,2024-06-15T17:55:44,37.78144,-122.38650,0.0,167.6,511.0
338469881,2024-06-15T17:56:46,37.84727,-122.39602,7.9,344.1,345.0
368003290,2024-06-15T17:56:26,37.82506,-122.43782,7.2,170.3,511.0
215230000,2024-06-15T17:56:46,37.79683,-122.31868,0.0,186.6,288.0
368063440,2024-06-15T17:56:28,37.79463,-122.28020,0.0,44.8,25.0
368063440,2024-06-15T17:55:07,37.79468,-122.28024,0.0,44.8,25.0
367741780,2024-06-15T17:57:43,37.91289,-122.35214,0.0,34.0,354.0
367152240,2024-06-15T17:57:52,37.80676,-122.40411,0.1,142.3,511.0
338110000,2024-06-15T17:58:06,37.92123,-122.36971,0.0,329.0,129.0
338398123,2024-06-15T17:56:01,37.91127,-122.34668,0.2,134.2,182.0
368254780,2024-06-15T17:56:45,37.86397,-122.48727,0.0,360.0,511.0
338181692,2024-06-15T17:55:26,37.81627,-122.43661,2.8,111.1,511.0
338181286,2024-06-15T17:55:53,37.86072,-122.48069,0.0,288.2,511.0
366862670,2024-06-15T17:56:59,37.70002,-122.32574,0.0,159.1,511.0
338096706,2024-06-15T17:55:58,37.82844,-122.41998,0.9,316.1,511.0
338332477,2024-06-15T17:56:34,37.90479,-122.37966,7.3,98.6,511.0
368246660,2024-06-15T17:58:10,37.86981,-122.49559,0.0,360.0,511.0
368246660,2024-06-15T17:55:16,37.86980,-122.49560,0.0,360.0,511.0
366808340,2024-06-15T17:57:16,37.80081,-122.39575,0.0,243.7,53.0
368245070,2024-06-15T17:56:38,37.92389,-122.37264,0.0,360.0,511.0
366999711,2024-06-15T17:57:34,37.81052,-122.36068,0.0,309.0,511.0
338443592,2024-06-15T17:58:15,37.80977,-122.42028,0.0,360.0,511.0
368203210,2024-06-15T17:55:45,37.91410,-122.35155,0.0,360.0,511.0
338413926,2024-06-15T17:57:02,37.87125,-122.44501,6.7,262.3,511.0
367107280,2024-06-15T17:58:04,37.86785,-122.31428,0.0,360.0,511.0
367776410,2024-06-15T17:58:34,37.81629,-122.37309,0.0,360.0,511.0
366985310,2024-06-15T17:56:35,37.80942,-122.41228,0.0,130.9,147.0
339124000,2024-06-15T17:55:41,37.83962,-122.31236,0.0,337.8,511.0
338467397,2024-06-15T17:57:05,37.80608,-122.44529,0.1,124.4,511.0
338311357,2024-06-15T17:57:13,37.80612,-122.44693,0.0,360.0,511.0
